id,place_id,name,filter_id
1945,1053,금빛휘트니스센터,4
1946,1054,잠실종합운동장,1
1947,1055,더 소호,7
1948,1056,도봉문화원,6
1949,1056,도봉문화원,4
1950,1057,CGV 명동,2
1951,1057,CGV 명동,6
1952,1058,드라마센터(동랑예술센터),2
1953,1058,드라마센터(동랑예술센터),6
1954,1059,KBS홀,2
1955,1059,KBS홀,6
1956,1060,강동구청,4
1957,1061,강동구립성내도서관,4
1958,1061,강동구립성내도서관,3
1959,1062,아리랑도서관,4
1960,1062,아리랑도서관,3
1961,1063,노원중앙도서관,4
1962,1063,노원중앙도서관,3
1963,1064,망원한강공원,1
1964,1064,망원한강공원,3
1965,1065,LG상남도서관,4
1966,1065,LG상남도서관,3
1967,1066,한상수자수박물관,3
1968,1066,한상수자수박물관,6
1969,1066,한상수자수박물관,4
1970,1067,녹사평 용산공원 플랫폼,3
1971,1067,녹사평 용산공원 플랫폼,6
1972,1067,녹사평 용산공원 플랫폼,1
1973,1068,내곡느티나무쉼터,1
1974,1069,코엑스전시장,5
1975,1070,강동구민회관,4
1976,1071,소나무언덕3호도서관,4
1977,1071,소나무언덕3호도서관,3
1978,1072,도봉구민회관,4
1979,1073,월계도서관,4
1980,1073,월계도서관,3
1981,1074,성북여성문화센터,6
1982,1075,한국공예문화진흥원,6
1983,1076,서울특별시교육청 용산도서관,4
1984,1076,서울특별시교육청 용산도서관,3
1985,1077,세컨드에비뉴 갤러리,3
1986,1077,세컨드에비뉴 갤러리,6
1987,1078,국립한글박물관,3
1988,1078,국립한글박물관,6
1989,1078,국립한글박물관,4
1990,1079,목인박물관 목석원,3
1991,1079,목인박물관 목석원,6
1992,1079,목인박물관 목석원,4
1993,1080,이문체육문화센터,1
1994,1080,이문체육문화센터,6
1995,1081,대림도서관,4
1996,1081,대림도서관,3
1997,1082,유리지공예관,4
1998,1083,상명아트센터,2
1999,1083,상명아트센터,6
2000,1084,동대문구체육관,1
2001,1085,중랑문화체육관,1
2002,1085,중랑문화체육관,6
2003,1086,개운산스포츠센터,1
2004,1087,운현궁,3
2005,1087,운현궁,6
2006,1088,서울시립 난지미술창작스튜디오,6
2007,1089,창동문화체육센터,1
2008,1089,창동문화체육센터,6
2009,1090,양천문화원,6
2010,1090,양천문화원,4
2011,1091,스튜디오 콘크리트,6
2012,1092,중구여성플라자,6
2013,1093,관악문화관,6
2014,1094,용산아트홀,2
2015,1094,용산아트홀,6
2016,1095,영등포아트홀,2
2017,1095,영등포아트홀,6
2018,1096,강남구민회관,4
2019,1097,국회도서관,4
2020,1097,국회도서관,3
2021,1098,겸재정선미술관,3
2022,1098,겸재정선미술관,6
2023,1098,겸재정선미술관,4
2024,1099,영등포구청,4
2025,1100,중랑구민체육센터,1
2026,1100,중랑구민체육센터,4
2027,1101,강북웰빙스포츠센터,1
2028,1102,갤러리 라메르,3
2029,1102,갤러리 라메르,6
2030,1103,중랑구평생학습관,4
2031,1104,서초여성가족플라자,6
2032,1105,서초구립반포도서관,4
2033,1105,서초구립반포도서관,3
2034,1106,셀린박 갤러리,3
2035,1106,셀린박 갤러리,6
2036,1107,배봉산 숲속 도서관,4
2037,1107,배봉산 숲속 도서관,1
2038,1107,배봉산 숲속 도서관,3
2039,1108,문화공간 이육사,6
2040,1109,갤러리 가이아,3
2041,1109,갤러리 가이아,6
2042,1110,서대문문화체육회관,1
2043,1110,서대문문화체육회관,6
2044,1111,종이나라박물관,3
2045,1111,종이나라박물관,6
